Dates,Open Time,Open,Close Time,Close,IntradayRet
2023-09-12,2023-09-12 09:30:00,4473.27,2023-09-12 16:00:00,4461.9,-0.0025417647492775863
2023-09-13,2023-09-13 09:30:00,4462.65,2023-09-13 16:00:00,4467.44,0.0010733532766404874
2023-09-14,2023-09-14 09:30:00,4487.78,2023-09-14 16:00:00,4505.1,0.0038593692204165198
2023-09-15,2023-09-15 09:30:00,4497.98,2023-09-15 16:00:00,4450.32,-0.010595867478290222
2023-09-18,2023-09-18 09:30:00,4445.13,2023-09-18 16:00:00,4453.53,0.0018897085124618407
2023-09-19,2023-09-19 09:30:00,4445.41,2023-09-19 16:00:00,4443.95,-0.0003284286488760557
2023-09-20,2023-09-20 09:30:00,4452.81,2023-09-20 16:00:00,4402.2,-0.011365856616383896
2023-09-21,2023-09-21 09:30:00,4374.36,2023-09-21 16:00:00,4330.0,-0.01014091204199008
2023-09-22,2023-09-22 09:30:00,4341.74,2023-09-22 16:00:00,4320.06,-0.004993389746967614
2023-09-25,2023-09-25 09:30:00,4310.62,2023-09-25 16:00:00,4337.44,0.006221842797555777
2023-09-26,2023-09-26 09:30:00,4312.88,2023-09-26 16:00:00,4273.53,-0.009123833725955821
2023-09-27,2023-09-27 09:30:00,4282.63,2023-09-27 16:00:00,4274.51,-0.0018960311771037963
2023-09-28,2023-09-28 09:30:00,4269.65,2023-09-28 16:00:00,4299.7,0.0070380476151441496
2023-09-29,2023-09-29 09:30:00,4328.18,2023-09-29 16:00:00,4288.05,-0.009271795535305882
2023-10-02,2023-10-02 09:30:00,4284.52,2023-10-02 16:00:00,4288.39,0.0009032517061420275
2023-10-03,2023-10-03 09:30:00,4269.75,2023-10-03 16:00:00,4229.45,-0.009438491714971686
2023-10-04,2023-10-04 09:30:00,4233.83,2023-10-04 16:00:00,4263.75,0.007066887428167856
2023-10-05,2023-10-05 09:30:00,4259.31,2023-10-05 16:00:00,4258.19,-0.00026295338916415556
2023-10-06,2023-10-06 09:30:00,4234.79,2023-10-06 16:00:00,4308.5,0.017405821776286468
2023-10-09,2023-10-09 09:30:00,4289.02,2023-10-09 16:00:00,4335.66,0.010874278972818896
2023-10-10,2023-10-10 09:30:00,4339.75,2023-10-10 16:00:00,4358.24,0.004260614090673354
2023-10-11,2023-10-11 09:30:00,4366.59,2023-10-11 16:00:00,4376.95,0.002372560739615892
2023-10-12,2023-10-12 09:30:00,4380.94,2023-10-12 16:00:00,4349.61,-0.007151433254050432
2023-10-13,2023-10-13 09:30:00,4360.49,2023-10-13 16:00:00,4327.78,-0.007501450525055686
2023-10-16,2023-10-16 09:30:00,4342.37,2023-10-16 16:00:00,4373.63,0.007198833816556505
2023-10-17,2023-10-17 09:30:00,4345.23,2023-10-17 16:00:00,4373.2,0.006436943498963288
2023-10-18,2023-10-18 09:30:00,4357.35,2023-10-18 16:00:00,4314.6,-0.009811008984818792
2023-10-19,2023-10-19 09:30:00,4321.36,2023-10-19 16:00:00,4278.0,-0.010033878223522197
2023-10-20,2023-10-20 09:30:00,4273.85,2023-10-20 16:00:00,4224.16,-0.011626519414579484
2023-10-23,2023-10-23 09:30:00,4210.4,2023-10-23 16:00:00,4217.04,0.0015770473114193884
2023-10-24,2023-10-24 09:30:00,4235.79,2023-10-24 16:00:00,4247.68,0.002807032454394731
2023-10-25,2023-10-25 09:30:00,4232.42,2023-10-25 16:00:00,4186.77,-0.01078579158023063
2023-10-26,2023-10-26 09:30:00,4175.99,2023-10-26 16:00:00,4137.23,-0.009281631421531267
2023-10-27,2023-10-27 09:30:00,4152.93,2023-10-27 16:00:00,4117.37,-0.008562629276197886
2023-10-30,2023-10-30 09:30:00,4139.39,2023-10-30 16:00:00,4166.82,0.006626580244915248
2023-10-31,2023-10-31 09:30:00,4171.33,2023-10-31 16:00:00,4193.8,0.005386771125756029
2023-11-01,2023-11-01 09:30:00,4201.27,2023-11-01 16:00:00,4237.86,0.008709271244171202
2023-11-02,2023-11-02 09:30:00,4268.26,2023-11-02 16:00:00,4317.78,0.011601917408967433
2023-11-03,2023-11-03 09:30:00,4334.23,2023-11-03 16:00:00,4358.34,0.0055626951038594274
2023-11-06,2023-11-06 09:30:00,4364.27,2023-11-06 16:00:00,4365.98,0.00039181810474575585
2023-11-07,2023-11-07 09:30:00,4366.21,2023-11-07 16:00:00,4378.38,0.0027873143985286397
2023-11-08,2023-11-08 09:30:00,4384.37,2023-11-08 16:00:00,4382.78,-0.0003626518747277263
2023-11-09,2023-11-09 09:30:00,4391.41,2023-11-09 16:00:00,4347.35,-0.010033223953126558
2023-11-10,2023-11-10 09:30:00,4364.15,2023-11-10 16:00:00,4415.24,0.011706747018319863
2023-11-13,2023-11-13 09:30:00,4406.66,2023-11-13 16:00:00,4411.55,0.001109683978341991
2023-11-14,2023-11-14 09:30:00,4458.97,2023-11-14 16:00:00,4495.7,0.008237328351614837
2023-11-15,2023-11-15 09:30:00,4505.3,2023-11-15 16:00:00,4502.88,-0.000537145140168227
2023-11-16,2023-11-16 09:30:00,4497.08,2023-11-16 16:00:00,4508.24,0.002481610289343239
2023-11-17,2023-11-17 09:30:00,4509.55,2023-11-17 16:00:00,4514.02,0.000991229723586562
2023-11-20,2023-11-20 09:30:00,4511.7,2023-11-20 16:00:00,4547.38,0.007908327238070001
2023-11-21,2023-11-21 09:30:00,4538.77,2023-11-21 16:00:00,4538.19,-0.0001277879249226288
2023-11-22,2023-11-22 09:30:00,4553.04,2023-11-22 16:00:00,4556.62,0.0007862878428477327
2023-11-24,2023-11-24 09:30:00,4555.84,2023-11-24 14:00:00,4559.34,0.0007682447144763405
2023-11-27,2023-11-27 09:30:00,4554.86,2023-11-27 16:00:00,4550.43,-0.0009725875218995483
2023-11-28,2023-11-28 09:30:00,4545.55,2023-11-28 16:00:00,4554.89,0.002054756850106143
2023-11-29,2023-11-29 09:30:00,4571.84,2023-11-29 16:00:00,4550.58,-0.004650206481416674
2023-11-30,2023-11-30 09:30:00,4554.87,2023-11-30 16:00:00,4567.8,0.0028387198756496534
