Dates_SPX,Open_SPX,Close_SPX,Dates_XP1,Open_XP1,Close_XP1
12/1/2023 2:20:00 PM,4588.56,4591.12,12/1/2023 2:20:00 PM,7150,7153
12/1/2023 2:25:00 PM,4591.11,4590.31,12/1/2023 2:25:00 PM,7152,7152
12/1/2023 2:30:00 PM,4590.44,4590.59,12/1/2023 2:30:00 PM,7152,7153
12/1/2023 2:35:00 PM,4590.52,4591.19,12/1/2023 2:35:00 PM,7154,7153
12/1/2023 2:40:00 PM,4591.22,4589.89,12/1/2023 2:40:00 PM,7154,7154
12/1/2023 2:45:00 PM,4589.86,4590.66,12/1/2023 2:45:00 PM,7153,7154
12/1/2023 2:50:00 PM,4590.64,4591.37,12/1/2023 2:50:00 PM,7155,7155
12/1/2023 2:55:00 PM,4591.3,4593.82,12/1/2023 2:55:00 PM,7156,7156
12/1/2023 3:00:00 PM,4593.74,4592.62,12/1/2023 3:00:00 PM,7157,7156
12/1/2023 3:05:00 PM,4592.6,4590.31,12/1/2023 3:05:00 PM,7156,7155
12/1/2023 3:10:00 PM,4590.27,4591.13,12/1/2023 3:10:00 PM,7156,7156
12/1/2023 3:15:00 PM,4591.11,4590.46,12/1/2023 3:15:00 PM,7156,7156
12/1/2023 3:20:00 PM,4590.47,4590.08,12/1/2023 3:20:00 PM,7155,7156
12/1/2023 3:25:00 PM,4590.07,4593.42,12/1/2023 3:25:00 PM,7155,7160
12/1/2023 3:30:00 PM,4593.36,4594.17,12/1/2023 3:30:00 PM,7159,7161
12/1/2023 3:35:00 PM,4594.08,4591.52,12/1/2023 3:35:00 PM,7160,7157
12/1/2023 3:40:00 PM,4591.51,4591.89,12/1/2023 3:40:00 PM,7157,7158
12/1/2023 3:45:00 PM,4591.6,4592.71,12/1/2023 3:45:00 PM,7157,7161
12/1/2023 3:50:00 PM,4592.59,4589.28,12/1/2023 3:50:00 PM,7160,7157
12/1/2023 3:55:00 PM,4590.17,4593.68,12/1/2023 3:55:00 PM,7158,7154
